"grp","wbeing","cohes","lead","hrs"
"1",2.1111111111,3.75,3.1818181818,12
"1",3.3333333333,3.25,3,11
"1",2.1111111111,3.375,3.6363636364,12
"1",4.3888888889,3.75,3.3636363636,9
"1",1.7222222222,4,3.5454545455,7
"1",3.3333333333,3,3.25,8
"1",3.4444444444,3.625,3.6363636364,9
"1",3.6666666667,3.375,3.2727272727,8
"1",3.0555555556,3.875,3.5454545455,12
"1",1.7222222222,3.375,2.5454545455,11
"1",3.6666666667,4,3.4545454545,11
"1",4.2777777778,4,4,10
"1",1.8888888889,2.25,2,11
"1",2.6111111111,1.5,1.9090909091,12
"1",2.9444444444,1.375,1.1818181818,12
"1",2.6111111111,2.875,2.9090909091,12
"1",2.4444444444,4.5,2.8333333333,14
"1",4.5555555556,4.375,4.3636363636,11
"1",3.7222222222,4.25,3.4,8
"1",1.6666666667,2.625,2.9090909091,12
"1",1.6666666667,3.125,2.4545454545,12
"1",3.7777777778,4.125,3.5454545455,10
"1",1.7777777778,2.375,3.5454545455,11
"1",3.8888888889,2.25,2.9090909091,12
"1",1.9444444444,3.125,2.4,11
"1",2.4444444444,2.25,1.8181818182,11
"1",3.8888888889,3.75,3.6363636364,12
"1",4.3333333333,2,2.8333333333,10
"1",0.3333333333,2.25,1.7272727273,12
"1",3.4444444444,2,2.8333333333,12
"1",2.7777777778,3.75,2.7272727273,13
"1",2.8888888889,2.875,3,13
"1",2.9444444444,4,3.8181818182,8
"1",1.2222222222,2.125,1.5454545455,14
"1",2.4444444444,2.5,3.0909090909,14
"1",1,4,1.6666666667,11
"1",2.6111111111,2.75,2.5454545455,10
"1",2.6111111111,3.125,3.0909090909,12
"1",2.9444444444,3,3.6363636364,13
"1",3.1111111111,3.75,3.3636363636,12
"1",4.0555555556,3.125,3.3636363636,10
"1",4.0555555556,3.25,4.1818181818,11
"1",3.0555555556,3.5,3.2727272727,11
"1",3.7222222222,2.75,3.1818181818,12
"1",2.5,2.625,2.3636363636,10
"1",2.6111111111,2.5,3,11
"1",4.3333333333,3,3.9090909091,13
"1",2.9444444444,2.375,2.7272727273,9
"1",0.4444444444,2.125,3.0909090909,10
"1",3.3888888889,4,3.0909090909,12
"1",2.7777777778,3.75,2.6363636364,12
"1",4.1666666667,2.375,2.7272727273,12
"1",2.1666666667,2,1.6363636364,11
"1",2.8333333333,3.375,2.5454545455,12
"1",2.6666666667,3.375,3.1818181818,10
"1",2.5555555556,2.375,3,11
"1",3.3888888889,2,1.7272727273,8
"1",2.5,3.125,3.4545454545,8
"1",2.3333333333,2.5,3.1818181818,11
"1",3.8888888889,2.625,2.3636363636,12
"1",2.2941176471,3,3.5,8
"1",3.4444444444,4,3.7272727273,9
"1",3.4444444444,2.125,3.0909090909,8
"1",3.6111111111,3.75,4,9
"1",2.3333333333,1.75,2.2727272727,11
"1",0.6666666667,1,1.3636363636,12
"1",2.7222222222,3,3.5,8
"1",2.1666666667,1,3.5,13
"1",0.5555555556,1.375,1.7272727273,11
"1",3.8888888889,1.875,2.9090909091,11
"1",2.4444444444,2.75,3.0909090909,12
"1",2.2777777778,2.5,2.7272727273,14
"1",2.5555555556,3.125,2.3636363636,13
"1",2.5555555556,2.5,2.2222222222,12
"2",2.3333333333,2.625,2.1818181818,13
"2",3.5,3.625,2.6363636364,10
"2",2.7777777778,3,2.3333333333,12
"2",3.2222222222,3.5,2.7272727273,11
"2",2.6666666667,3,3,13
"2",1.4444444444,4.1666666667,3.1666666667,11
"2",2.5,3.625,3,18
"2",3.2222222222,3.5714285714,1.7272727273,15
"2",3.2222222222,2,2.8333333333,9
"2",2.1111111111,2.125,2,16
"2",2.0555555556,3.375,1.9090909091,16
"2",2.3333333333,1.5,2.6666666667,11
"2",3.1111111111,4,2,10
